Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/,1,0,yes,"[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 2 >= 2
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 6 >= 6
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 9 >= 9
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 13 >= 13
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 16 >= 16
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 19 >= 19
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 23 >= 23
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 26 >= 26
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 30 >= 30
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 33 >= 33
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 37 >= 37
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 40 >= 40
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 43 >= 43
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 47 >= 47
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 50 >= 50
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 54 >= 54
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 57 >= 57
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 61 >= 61
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 64 >= 64
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 67 >= 67
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 71 >= 71
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 74 >= 74
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 78 >= 78
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 81 >= 81
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 195568 >= 195552
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 85 >= 85
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 88 >= 88
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 91 >= 91
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 95 >= 95
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 98 >= 98
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 102 >= 102
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 105 >= 105
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 109 >= 109
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 112 >= 112
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 115 >= 115
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 119 >= 119
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 122 >= 122
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 126 >= 126
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 129 >= 129
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 133 >= 133
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 136 >= 136
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 139 >= 139
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 143 >= 143
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 146 >= 146
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 150 >= 150
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 153 >= 153
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 157 >= 157
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 160 >= 160
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 163 >= 163
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 167 >= 167
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 170 >= 170
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 174 >= 174
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 177 >= 177
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 181 >= 181
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 184 >= 184
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 187 >= 187
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 191 >= 191
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 194 >= 194
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 198 >= 198
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 201 >= 201
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 205 >= 205
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 208 >= 208
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 211 >= 211
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 215 >= 215
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 218 >= 218
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 222 >= 222
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 225 >= 225
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 229 >= 229
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 232 >= 232
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 235 >= 235
[null @ 0x135704a20] Application provided invalid, non monotonically increasing dts to muxer in stream 0: 239 >= 239",1.16
Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/,2,4314.43,no,,1.16
Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/,3,3498.18,no,,1.32
